"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"13",14,20,1.07668007095059,0.21462226675874,0.697368703283906,0.749853267958342,0.925731897785514,1.0617947616608,1.21253868540426,1.45180902179104,1.53738398470961
"14",15,21,0.988928835535801,0.20210184101654,0.633779025800338,0.681547834656335,0.84613043938813,0.975439622273913,1.11683387320765,1.34337298945877,1.42335584742817
"15",16,22,1.0874248744335,0.213905654346022,0.709029239432512,0.762057765057923,0.936286199579725,1.0736919325529,1.22322461191835,1.46134263440367,1.54374551945553
"16",17,23,1.36410937135211,0.23742930259222,0.939153926477434,0.997981170207925,1.19694461403362,1.35064512510477,1.51636155823809,1.77623900731396,1.8673169349916
"17",18,24,1.42456253706486,0.248373838907915,0.980948157615908,1.04254742458819,1.24941082045347,1.40997449399909,1.58369706388619,1.85697354315286,1.95133004291136
"18",19,25,1.53307962493681,0.266943207525883,1.06114924870506,1.12544455494456,1.34341407160013,1.51666948062837,1.70356070856722,1.99936632855366,2.09941278599157
"19",20,26,1.29926059736303,0.250780857842531,0.86309361253572,0.92004090240992,1.11840390194229,1.280812376676,1.46104455153163,1.74001934396547,1.83415312598666
"20",21,27,1.26844677448874,0.225968338199516,0.874948865286838,0.927222782957653,1.1081075371175,1.25172494958948,1.41112948941861,1.66678867110734,1.75642973515955
"21",22,28,1.33389264693302,0.221748740580149,0.943172188022615,0.996870844794118,1.17709662538996,1.31908489741657,1.47486582522906,1.72239368331422,1.80928985759356
"22",23,29,1.34269677282094,0.221883608120865,0.95029369884577,1.00382128631257,1.18591487985054,1.32833332829843,1.48419216390561,1.73052570178477,1.81476256742499
"23",24,30,1.18565629381345,0.20187918058573,0.829885216309616,0.877940100935487,1.04226785449609,1.17247206914187,1.31497049089083,1.53907083883682,1.6158372941038
"24",25,31,1.07580077992917,0.177753712500308,0.759563916842256,0.803349000232279,0.950586030928902,1.06478956344736,1.18865120201457,1.38623943254783,1.45531600302243
"25",26,32,0.968802112659906,0.160094649694183,0.681359687586608,0.721871577676108,0.856599566573154,0.959624294338994,1.07113269322927,1.24656754221658,1.30806110569548
"26",27,33,1.11440583297209,0.170449503361723,0.805575141788693,0.849301289804403,0.995213349658161,1.10604946524879,1.22445027738138,1.40884758750351,1.47202287073571
"27",28,34,1.32028574597757,0.184904707986192,0.983453147574864,1.03230053402194,1.19131943552407,1.31153548574202,1.43951623329663,1.63942341690533,1.70738808548418
"28",29,35,1.30953757267756,0.191624408326531,0.961191002213968,1.01134757897466,1.17523577419626,1.30042115244374,1.43357715248785,1.64021126431354,1.71126870243426
"29",30,36,1.23784787283654,0.187406007293484,0.901519880632579,0.94843738377628,1.10587267490715,1.22742995491912,1.35844561702592,1.56263287874547,1.63395980005845
"30",31,37,1.25401976150287,0.181956810853266,0.926152525951622,0.973777934094713,1.12627507637545,1.24345480277623,1.37115711950725,1.57032841088788,1.63890248754264
"31",32,38,1.26272037638073,0.179926303664342,0.939925665660904,0.984928025213336,1.13611343408501,1.25269560509849,1.37872682486458,1.57364707610348,1.64111081814916
"32",33,39,1.26503411989094,0.178556491044839,0.943430421750931,0.988341225297889,1.13888055337378,1.25542300785077,1.38088780741457,1.57496280414921,1.64030908176103
"33",34,40,1.30190819849826,0.178725297170455,0.9802984559529,1.02418963845435,1.17632550465368,1.29211831614225,1.41770398952438,1.6112766049115,1.67713360081211
"34",35,41,1.2688182965273,0.176924094383846,0.952106242762562,0.996207967935147,1.14346341538787,1.259228799794,1.38373760152289,1.57622085371693,1.63983271803606
"35",36,42,1.14246237183998,0.161306415242641,0.854071551301884,0.893727516533221,1.02867308221485,1.13247308964181,1.24693094703999,1.42278480504261,1.48289628068229
"36",37,43,1.31908613154418,0.161903776359419,1.02515621651406,1.06741811408976,1.20597505930033,1.31075379235944,1.42398621466388,1.59914378000616,1.65946496334681
"37",38,44,1.27439495622111,0.167586784068205,0.970583405207987,1.01349718435878,1.15614160216895,1.26600668528902,1.38412602672614,1.56302575588699,1.62392585173898
"38",39,45,1.25766494479032,0.163072685796548,0.963961378568403,1.00476984119813,1.14238304287034,1.24900647548511,1.36425503718322,1.53881323116329,1.59811063261856
"39",40,46,1.28797707157713,0.161263917284553,0.996944383419553,1.03733066123297,1.17416007402945,1.27977774676829,1.3931785981045,1.56682019674648,1.62464738155232
"40",41,47,1.2907034981723,0.161497061022155,0.998435933232233,1.03893250692706,1.17584405615625,1.2828646105466,1.39710483355427,1.56841688417235,1.62671798189908
"41",42,48,1.35383973542977,0.165625303068882,1.05543274791359,1.09633196088396,1.23590973574096,1.34550980794805,1.46316281217448,1.63948975250068,1.6971718151648
"42",43,49,1.59518400203022,0.192976308873506,1.24898062549006,1.29388876543403,1.45505541171078,1.58666787115503,1.72662491916796,1.92539083109672,1.98890918441588
"43",44,50,1.45377520138348,0.218837338948278,1.0688547841491,1.11289195034742,1.28531006381696,1.44831945114317,1.61277264229124,1.82008423378219,1.88281596333288
"44",45,51,1.51987377352151,0.215322313013376,1.15239232689774,1.19442332705027,1.3536614772001,1.50666586217752,1.67342709107711,1.889799359837,1.95566282910801
"45",46,52,1.43209318820475,0.211467432050387,1.07261289536235,1.1122551080491,1.26651659338939,1.42117859518185,1.58508489011765,1.79230709252168,1.8542985658269
"46",47,53,1.52848402607488,0.209347679079547,1.17673626726349,1.2161863799818,1.36559459316169,1.51332635670767,1.67879076076722,1.88999696793931,1.95079162684874
"47",48,54,1.42216595595519,0.206955379523695,1.07312716396249,1.10956948406335,1.2584400972187,1.41168740804522,1.57438218680775,1.77343661847254,1.83215503916077
"48",49,55,1.33972731193681,0.181187228091933,1.03569236147244,1.06981467768099,1.19835860824176,1.32611774156228,1.46990323064339,1.65277356266557,1.70706228256792
