"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"22",23,29,1.23846620535419,0.119824028377981,1.02434781671201,1.05190746078888,1.15076121980668,1.23281664831319,1.32088351509523,1.44357096299054,1.48180699653033
"23",24,30,1.18171189958234,0.110445542027716,0.98349988287913,1.01019433454044,1.10143012572469,1.17598071124425,1.25712267978251,1.37122292526783,1.40726206440151
"24",25,31,1.17438548091997,0.100099277143664,0.994044729426172,1.01859890978425,1.10284873894663,1.16913891538619,1.24117316817084,1.34720786291116,1.38117626571256
"25",26,32,1.23050898419011,0.0985432196256363,1.05112151459343,1.07603748542372,1.16070515641674,1.2259275082996,1.29634363942204,1.39966180248539,1.43381669107958
"26",27,33,1.18729528816039,0.100389729253248,1.00312833150164,1.02893125602595,1.11558333967034,1.18391588592796,1.25558976448823,1.35737067585373,1.38991446987231
"27",28,34,1.26339881571924,0.0998863628705578,1.08071009310439,1.10633501126148,1.19196538539568,1.25932264438515,1.33112178996202,1.43381741670312,1.4661744228886
"28",29,35,1.32956936230588,0.113031531720501,1.12238566356448,1.14971584565286,1.24699284965826,1.32670498527836,1.40875591752546,1.51940662159957,1.55346479097971
"29",30,36,1.32896761940157,0.126747355706186,1.10059112899162,1.12879122691994,1.23294352220539,1.32664650710178,1.42110470827967,1.53923965693826,1.57434057300953
"30",31,37,1.32583083970547,0.131284513105004,1.09411324380699,1.12154020119245,1.22506308884786,1.32137149091376,1.42280831413523,1.54486284767015,1.5801559194044
"31",32,38,1.29869780839391,0.129649244679773,1.07295511130389,1.09843543729728,1.19830041075021,1.29327788990424,1.3943864459337,1.51666340093214,1.55144127098478
"32",33,39,1.32106442155352,0.126917686012508,1.10144983919381,1.1265541359865,1.22332360440358,1.31400346947566,1.41432216196992,1.53593577195772,1.57083738162696
"33",34,40,1.34335948393528,0.130756043995047,1.11761244896587,1.14287460888296,1.2412681607256,1.33704737804168,1.44026223803065,1.56365916695706,1.59815221095006
"34",35,41,1.35310773886189,0.135621056770249,1.12036930577618,1.14536714005184,1.24583268491426,1.34681705820009,1.45586541812767,1.5795938832674,1.61373721689188
"35",36,42,1.36829087651275,0.139889462636523,1.12973711641001,1.15504376975242,1.25680767482023,1.36148052926345,1.47508955769357,1.60157860272951,1.63612795215486
"36",37,43,1.3731864184774,0.143629060907142,1.12957205164171,1.15469690504245,1.25772297199882,1.36648865500917,1.48394243435106,1.61192289228054,1.64570330099751
"37",38,44,1.401227575285,0.147818477996139,1.15236462219369,1.17737309744101,1.28154637981614,1.39357235798898,1.51632513278369,1.64686864199869,1.6806266650305
"38",39,45,1.42407012249998,0.155866080004898,1.16406756246323,1.18823033429237,1.29644266273081,1.41655532282562,1.54670186719605,1.68191629401358,1.7155120975652
"39",40,46,1.48330167854627,0.168411819200803,1.20492587304391,1.22969097963722,1.34338597601213,1.47496822129684,1.61834413234643,1.7607755059377,1.7945096347603
"40",41,47,1.5423869557208,0.189181753916064,1.2320688138256,1.25760820120695,1.38334500117685,1.53409234625071,1.69698323931901,1.85022197380296,1.88601983238489
"41",42,48,1.50826502153441,0.202144659060325,1.18112529559322,1.20619631093797,1.3359324180538,1.49839293990767,1.67574646961566,1.83668412654248,1.87253431456452
"42",43,49,1.46233564845412,0.194875481825353,1.15481346066172,1.17789489916333,1.29569188900435,1.44727582676621,1.62290924498642,1.78547312386235,1.81998410007507
"43",44,50,1.42481931118295,0.18066423075763,1.14205757454497,1.16361915959784,1.27134483351689,1.40875505153133,1.5723068833562,1.7276288836915,1.76105553258813
"44",45,51,1.40280147541587,0.16738126714227,1.14021521082254,1.16052803835157,1.26122988091658,1.38678280455978,1.53775167151983,1.68476118745954,1.71685115938028
"45",46,52,1.40977342100773,0.159448285304516,1.15833981010824,1.17811544884239,1.27558948391576,1.39523023894976,1.53917017345818,1.67850977782358,1.7074306669861
